"","indiv_id","sex","genome1_id","genome2_id","x","y","age"
"166","p1:i438","H","p1:876","p1:877",19.8461835460935,21.1751078798121,9
"167","p1:i1548","H","p1:3096","p1:3097",7.30092388623365,8.18456850954881,2
"168","p1:i2477","H","p1:4954","p1:4955",19.0495009863012,10.6772426051626,0
"169","p1:i1286","H","p1:2572","p1:2573",13.1734825106378,17.4721238047198,3
"170","p1:i494","H","p1:988","p1:989",17.6572692554093,8.85386261095779,9
"171","p1:i157","H","p1:314","p1:315",2.97077136039628,7.39269387821499,15
"172","p1:i1020","H","p1:2040","p1:2041",18.20353019073,3.03026367294903,4
"173","p1:i71","H","p1:142","p1:143",19.8439576078152,22.6085887807635,20
"174","p1:i1242","H","p1:2484","p1:2485",1.66745353609278,15.148215150172,3
"175","p1:i1828","H","p1:3656","p1:3657",8.97077232408045,1.05215280272656,1
"176","p1:i938","H","p1:1876","p1:1877",3.29910474025532,5.03206565842322,5
"177","p1:i1798","H","p1:3596","p1:3597",9.18903846267246,12.3207310543585,1
"178","p1:i1959","H","p1:3918","p1:3919",19.0866362289064,23.6469319460118,1
"179","p1:i1381","H","p1:2762","p1:2763",12.6060622980027,23.9300956960557,3
"180","p1:i1723","H","p1:3446","p1:3447",3.86959144407997,10.7931522085646,2
"181","p1:i2105","H","p1:4210","p1:4211",10.1547731586975,4.36722671296647,1
"182","p1:i220","H","p1:440","p1:441",15.743820466462,19.5735179826322,13
"183","p1:i183","H","p1:366","p1:367",19.039879140066,17.421266587473,14
"184","p1:i817","H","p1:1634","p1:1635",16.551427524811,21.5559220512204,6
"185","p1:i589","H","p1:1178","p1:1179",13.5006625780627,2.92108085163345,7
"186","p1:i119","H","p1:238","p1:239",11.7931373975083,13.5418198995153,17
"187","p1:i1681","H","p1:3362","p1:3363",21.9708550668696,6.8922493183209,2
"188","p1:i51","H","p1:102","p1:103",9.51823141439929,16.3033319138375,21
"189","p1:i891","H","p1:1782","p1:1783",8.77949633838217,11.3558601904007,5
"190","p1:i2203","H","p1:4406","p1:4407",9.41957051725836,17.111812580898,0
"191","p1:i176","H","p1:352","p1:353",10.1754045900899,6.79736131254246,15
"192","p1:i1807","H","p1:3614","p1:3615",17.344790860364,17.7536214859358,1
"193","p1:i1006","H","p1:2012","p1:2013",2.42574654579488,2.79146669586058,5
"194","p1:i718","H","p1:1436","p1:1437",19.6059043475054,14.6536807732066,6
"195","p1:i1599","H","p1:3198","p1:3199",21.6955673763934,2.03709414410651,2
"196","p1:i2096","H","p1:4192","p1:4193",2.91996030514656,7.81421074378948,1
"197","p1:i728","H","p1:1456","p1:1457",9.22553130372954,9.95560971392462,6
"198","p1:i2346","H","p1:4692","p1:4693",6.04469440906723,14.0563372894887,0
"199","p1:i926","H","p1:1852","p1:1853",17.95615333098,10.6230965904349,5
"200","p1:i1260","H","p1:2520","p1:2521",24.6210777448458,17.9371246149238,3
